Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
168,PG&E,20642,11.8,-102,0.0,103327,29433.7,26000
169,Carrier Global,20613,18.1,1664,-16.0,26172,39127.4,58000
170,Baker Hughes,20502,-1.0,-219,0.0,35308,37410.2,54000
171,Cleveland-Cliffs,20444,281.8,2988,0.0,18975,16891.2,26000
172,United States Steel,20275,108.1,4174,0.0,17816,9832.3,24540
173,Becton Dickinson,20248,18.3,2092,139.4,53866,75749.1,75000
174,CarMax,20092,-6.2,747,-15.9,21542,15598.9,26889
175,Sherwin-Williams,19945,8.6,1864,-8.2,20667,65037.9,61626
176,Builders FirstSource,19894,132.4,1725,450.3,10714,11408.9,28000
177,Marsh & McLennan,19820,15.1,3143,55.9,34388,85681.3,83000
178,PNC Financial Services Group,19698,-18.1,5674,-24.5,557191,77203.4,58547
179,Lumen Technologies,19687,-4.9,2033,0.0,57993,11533.4,36000
180,Avnet,19535,10.8,193,0.0,8925,4016.9,14500
181,Tenet Healthcare,19485,10.5,914,129.1,27579,9387.6,88968
182,Kimberly-Clark,19440,1.6,1814,-22.9,17837,41496.1,45000
183,Kohl's,19433,21.8,938,0.0,15054,7774.6,67000
184,BlackRock,19374,19.6,5901,19.6,152648,116186.2,18400
185,Jones Lang LaSalle,19367,16.7,962,138.9,15505,11945.5,98200
186,Lear,19263,13.0,374,135.9,13352,8513.1,160100
187,Lincoln National,19230,10.3,1405,181.6,387301,11271.6,10848
188,Charles Schwab,18996,56.9,5855,77.5,667270,159675.9,33400
189,Ross Stores,18916,50.9,1723,1917.5,13640,31741.7,100000
190,Mastercard,18884,23.4,8687,35.5,37669,349330.5,24000
191,Genuine Parts,18871,8.5,899,0.0,14352,17888.1,52000
192,WestRock,18746,6.6,838,0.0,29254,12379.0,49900
193,EOG Resources,18642,69.0,4664,0.0,38236,69796.0,2800
194,Cognizant Technology Solutions,18507,11.1,2137,53.5,17852,47035.0,330600
195,Moderna,18471,2199.1,12202,0.0,24669,69424.3,2700
196,Steel Dynamics,18409,91.7,3214,483.5,12531,15811.5,10640
197,HF Sinclair,18389,64.4,558,0.0,12917,8895.8,4208
198,Texas Instruments,18344,26.9,7769,38.9,24676,169329.6,31000
199,Emerson Electric,18236,8.6,2303,17.2,24715,58241.7,86700
200,WESCO International,18218,47.8,465,362.8,12618,6598.5,18000
201,General Mills,18127,2.8,2340,7.3,31842,40781.8,35000
202,Tenneco,18035,17.3,35,0.0,11622,1523.0,71000
203,Waste Management,17931,17.8,1816,21.4,29097,65802.8,48500
204,Viatris,17886,49.7,-1269,0.0,54843,13160.2,37000
205,DISH Network,17881,15.4,2411,36.8,48002,16743.1,14500
206,L3Harris Technologies,17814,-2.1,1846,65.0,34709,47969.6,47000
207,DXC Technology,17729,-9.4,-149,0.0,22038,7977.3,134000
208,Block,17661,86.0,166,-22.0,13926,78655.9,8521
209,Goodyear Tire & Rubber,17478,41.9,764,0.0,21402,4029.3,72000
210,Uber Technologies,17455,56.7,-496,0.0,38774,69753.0,29300
211,Colgate-Palmolive,17421,5.8,2166,-19.6,15040,63742.2,33800
212,Stanley Black & Decker,17253,18.7,1689,36.9,28180,22843.3,71300
213,DuPont,17160,-15.9,6467,0.0,45707,37739.7,28000
214,Stryker,17108,19.2,1994,24.7,34631,100978.1,46000
215,NextEra Energy,17069,-5.2,3573,22.4,140912,166264.1,15000
216,Targa Resources,16950,105.2,71,0.0,15208,17243.8,2430
217,Western Digital,16922,1.1,821,0.0,26132,15536.4,65600
218,PPG Industries,16802,21.5,1439,35.9,21351,30951.9,49300
219,American Electric Power,16792,12.6,2488,13.1,87669,50338.6,16688
220,Gap,16670,20.8,256,0.0,12761,5206.6,97000
221,BJ's Wholesale Club,16667,8.0,427,1.3,5669,9146.9,34000
222,Reinsurance Group of America,16658,14.1,617,48.7,92175,7354.6,3500
223,Kinder Morgan,16610,42.0,1784,1399.2,70416,42878.1,10529
224,Oneok,16540,93.6,1500,144.7,23622,31516.0,2847
225,Expeditors Intl. of Washington,16524,72.4,1416,103.3,7610,17268.8,19070
226,Advanced Micro Devices,16434,68.3,3162,27.0,12419,177936.1,15500
227,Fiserv,16226,9.3,1334,39.2,76249,66132.8,44000
228,Estée Lauder,16215,13.4,2870,319.6,21971,97672.1,53320
229,Bank of New York Mellon,16158,-4.6,3759,3.9,444438,40056.7,49100
230,Laboratory Corp. of America,16121,15.3,2377,52.8,20385,24625.8,71725
231,Regeneron Pharmaceuticals,16072,89.1,8075,129.9,25435,75806.0,10368
232,Land O'Lakes,15916,14.1,287,8.5,9560,0.0,9000
233,Cheniere Energy,15864,69.5,-2343,0.0,39258,35272.3,1550
234,Southwest Airlines,15790,74.5,977,0.0,36320,27129.3,55093
235,Adobe,15785,22.7,4822,-8.3,27241,215280.5,25988
236,Synchrony Financial,15752,-4.4,4221,204.8,95748,18145.5,18000
237,Corteva,15655,10.1,1759,158.3,42344,41774.9,21000
238,Fidelity National Financial,15643,45.1,2422,69.7,60690,13849.6,28290
239,DTE Energy,15369,26.2,907,-33.7,39719,25614.6,10300
